Doc Id,Offer File,Offer Id,Store File,Store Brand Name,Store Name,Store_Address,Area,City,Store Longitude,Store Latitude
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"62/2, Central Road, Agartala",Central Road,Agartala,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"218E, Mahatma Gandhi Marg, Allahabad",Gandhi Marg,Allahabad,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Johnsongang Chawk, Near Ghantaghar , Allahabad",Ghanta Ghar,Allahabad,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Bazar Chowk, Angul",Bazaar Chowk,Angul,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"33,Near Gaushala, Nh-6, Bargarh",Gaushala,Bargarh,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Urban Bank Road, Berhampur",Bank Road,Berhampur,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"22A/22C, Bapuji Nagar,Bhubaneswar",Bapuji Nagar,Bhubaneswa r,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"3, Eastern Market Building, Unit – Ii, Bhubaneswar",Eastern Market,Bhubaneswa r,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"6, Eastern Market Building, Unit-Ii, Bhubneshwar",FCT (BBSR),Bhubaneswa r,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Chorda Bypass, Bank Street, Opp. Hdfc Bank, Jajpur Road",Jajpur Road,Bhubaneswa r,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Nageshwar Mall & Multiplex, Ramchandrapur, Bihar Sharif",Bihar Sharif,Bihar Sharif,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Link Road, Badambadi,Cuttack",Link Road,Cuttack,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Plot No. 3487, Ganesh Bazar, Ward No. 06,Dhenkanal",Ganesh Bazar,Dhenkanal,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Post Office Chowk , Gopalganj",Gopalganj,Gopalganj,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"9, Snp Area, Sakchi, Jameshadpur",TATA,Jameshadpu r,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Badlapur Padao, Revenue Village Malipur Peg., Tahsil- Sadar, Jaunpur",Tahsil,Jaunpur,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,," ahabir Complex , Main Road , Near Chadra Talkies",Chas,Jharkhand,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Nizamat Hussain Road, Opposite Madarsha School,Deoghar",Deoghar,Jharkhand,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,," aulana Azad Chowk , Giridih",Giridih,Jharkhand,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"198, Maa Durga Complex , Mauza - Khirgaon,Ward No. 17 ,Hazaribagh, Jharkhand",Hazaribagh,Jharkhand,,
807f6c42fe0da549b8ac8243db6eb258,baazar-kolkata-store.page,kolkata.dcr,baazar-kolkata-store-list.pdf,Bazaar Kolkata,,"Jaiswal Market Diamond Harbour Road, Kanyanagar,24 Parganas (S) Amtala, Kolkata",Amtala,Kolkata,,
